Company,Description,Experience,Salary,Title
SnapHunt Pte Ltd,"As a Data Visualisation Designer, you will be expected to have a flair for telling visual stories in imaginative ways. You will work with a team of journalists, designers, developers and editors to design concepts and create stories. Skills : Data Visualization , Visual Basic , Data Science",2-12 Years,Not Specified,Data Visualisation Designer
GMP Technologies,"> 6 months temp contract period from April 2020 to Sep 2020 > $3,000 per month > Singapore Citizens ONLY > Advanced EXCEL Skills (data filters, sort, pivot tbles, Vlookup, formulae) > Basic XML editing skills Skills : Data Analyst , Reporting Analyst , Data Entry , Ms Excel , Data Quality",1-2 Years,Not Specified,6-months Data Analyst
Sciente Consulting Pte. Ltd,"An exciting opportunity for Data Analytics professionals to deepen their business and data analysis skills in one of the leading banks working on various on-going employee experience enhancement initiatives. Skills : Data Analyst , Banking , Power Bi , Tableau , Python , Sql , R Programming",5-10 Years,Not Specified,Data Analyst
SnapHunt Pte Ltd,"Driving all data analytics activities ranging from conceptualisation, visualisation to operationalisation and performing statistical analysis on historical data to validate models. Skills : Java , R Programming , Python",3-13 Years,Not Specified,Data Scientist
SnapHunt Pte Ltd,"Reporting to the Chief Talent Advocate, you will be responsible ensuring that our data is as complete, upto date and accurate as possible. Skills : Data Entry , Business Support , Data Management",1-5 Years,Not Specified,Data Entry Executive
GMP Technologies,"Responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams Skills : timescaledb , data pipelines , Data Engineer , Big Data , Hadoop , Hive , Kafka , Elk , Mssql , Postgres , Cassandra",5-10 Years,Not Specified,Data Engineer (1-year renewable contract) - MNC
GMP Technologies,"Responsible for expanding and optimizing the data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. Skills : data pipeline , Data Engineer , Sql , Azure , Big Data",3-10 Years,Not Specified,"Data Engineer (Data Architecture, Pipeline ) – 12 months contract, Immediate"
SearchElect Pte Ltd,"You will perform threat analysis and assessment on contemporary or emerging cyber-attack technologies and trends Skills : Malware Research , Reverse Engineering , ollydbg , Malware Analysis , Threat Analysis , Network Protocols",3-10 Years,Not Specified,Malware Analyst
SnapHunt Pte Ltd,"Working with stakeholders to understand needs in order with respect to data structure, availability, scalability and accessibility. Skills : Data Analysis , Data Mining , Machine Learning",3-13 Years,Not Specified,Data Engineer
SnapHunt Pte Ltd,"As a result of our accelerated growth, we are aggressively expanding our Technology and Data Science team in Singapore. Skills : Python , R Programming , Ruby",3-8 Years,Not Specified,Data Engineer
Sciente Consulting Pte. Ltd,"Our client is looking for a meticulous individual to translate business requirements into deliverables and support in collecting, cleansing, interpreting, analyzing data to identify trends and patterns for problem solving. Skills : Business Analyst",2-7 Years,Not Specified,Business Analyst
SnapHunt Pte Ltd,"Developing high-quality code to build and deploy machine learning models. Skills : Machine Learning , Bigdata , Artificial Intelligence",0-5 Years,Not Specified,AI Engineer
GMP Technologies,"> 1-year contract (renewable) > Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Azure ‘big data’ technologies Skills : data infrastructure , Data Pipeline , Unstructured Data Sets , Data Architecture",5-6 Years,Not Specified,"Data Infrastructure Engineer (Data Pipeline Optimisation, Architecture)"
